# PCRE2 conformance known-failures — regenerated by `go run ./cmd/pcre2-bless`.
# Format: <ID>  # <bucket>: <reason>
# Each line is one (pattern, subject) outcome currently failing.
# Removing an ID and re-running the test will require the engine to PASS it.

testinput1:37  # MATCH_MISMATCH: got matched=false, want true
testinput1:89  # MATCH_MISMATCH: got matched=false, want true
testinput1:91  # MATCH_MISMATCH: got matched=false, want true
testinput1:93  # MATCH_MISMATCH: got matched=false, want true
testinput1:95  # MATCH_MISMATCH: got matched=false, want true
testinput1:118  # MATCH_MISMATCH: got matched=false, want true
testinput1:121  # MATCH_MISMATCH: got matched=false, want true
testinput1:133  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:136  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:139  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:142  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:145  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:148  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:151  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:154  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:158  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:160  # PARSE_ERROR: Parse("^(b+?|a){1,2}?c"): parse "^(b+?|a){1,2}?c": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:164  # MATCH_MISMATCH: got matched=false, want true
testinput1:167  # MATCH_MISMATCH: got matched=false, want true
testinput1:170  # MATCH_MISMATCH: got matched=false, want true
testinput1:173  # MATCH_MISMATCH: got matched=false, want true
testinput1:176  # MATCH_MISMATCH: got matched=false, want true
testinput1:179  # MATCH_MISMATCH: got matched=false, want true
testinput1:182  # MATCH_MISMATCH: got matched=false, want true
testinput1:185  # MATCH_MISMATCH: got matched=false, want true
testinput1:195  # PARSE_ERROR: Parse("^(ba|b*){1,2}?bc"): parse "^(ba|b*){1,2}?bc": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:198  # PARSE_ERROR: Parse("^(ba|b*){1,2}?bc"): parse "^(ba|b*){1,2}?bc": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:201  # PARSE_ERROR: Parse("^(ba|b*){1,2}?bc"): parse "^(ba|b*){1,2}?bc": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:205  # PARSE_ERROR: Parse("^(ba|b*){1,2}?bc"): parse "^(ba|b*){1,2}?bc": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:207  # PARSE_ERROR: Parse("^(ba|b*){1,2}?bc"): parse "^(ba|b*){1,2}?bc": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:213  # PARSE_ERROR: Parse("^\\ca\\cA\\c[;\\c:"): parse "^\\ca\\cA\\c[;\\c:": syntax error at col 1: unexpected token near ""
testinput1:219  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:221  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:223  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
